n_estimators,max_depth,random_state,score
10,10,1,94.7
10,10,2,95.2
10,10,3,94.7
10,10,4,93.7
10,10,5,94.9
10,10,6,94.4
10,10,7,95.2
10,10,8,94.9
10,10,9,94.6
10,10,10,94.4
10,10,11,94.1
10,10,12,94.6
10,10,13,95.2
10,10,14,94.2
10,10,15,94.7
10,10,16,94.3
10,10,17,95.0
10,10,18,94.1
10,10,19,94.4
10,10,20,94.0
10,10,21,94.2
10,10,22,94.4
10,10,23,95.2
10,10,24,95.0
10,10,25,93.6
10,10,26,94.8
10,10,27,94.6
10,10,28,94.2
10,10,29,94.7
10,11,1,95.6
10,11,2,94.9
10,11,3,95.2
10,11,4,94.9
10,11,5,94.7
10,11,6,95.4
10,11,7,95.2
10,11,8,95.3
10,11,9,95.0
10,11,10,94.9
10,11,11,95.6
10,11,12,95.1
10,11,13,95.2
10,11,14,94.7
10,11,15,94.1
10,11,16,95.6
10,11,17,94.7
10,11,18,94.9
10,11,19,95.5
10,11,20,94.7
10,11,21,95.2
10,11,22,95.2
10,11,23,95.2
10,11,24,94.9
10,11,25,94.3
10,11,26,95.2
10,11,27,95.2
10,11,28,95.0
10,11,29,95.4
10,12,1,95.7
10,12,2,95.4
10,12,3,95.7
10,12,4,95.3
10,12,5,95.2
10,12,6,95.6
10,12,7,95.7
10,12,8,95.2
10,12,9,95.2
10,12,10,95.2
10,12,11,95.4
10,12,12,95.6
10,12,13,95.2
10,12,14,94.9
10,12,15,95.6
10,12,16,95.5
10,12,17,95.4
10,12,18,95.0
10,12,19,95.1
10,12,20,94.1
10,12,21,94.7
10,12,22,95.6
10,12,23,94.9
10,12,24,95.3
10,12,25,94.7
10,12,26,94.8
10,12,27,95.7
10,12,28,95.2
10,12,29,95.3
10,13,1,95.7
10,13,2,95.3
10,13,3,96.0
10,13,4,95.5
10,13,5,95.2
10,13,6,95.4
10,13,7,95.9
10,13,8,95.8
10,13,9,95.4
10,13,10,95.2
10,13,11,95.4
10,13,12,95.8
10,13,13,95.3
10,13,14,95.2
10,13,15,95.7
10,13,16,96.0
10,13,17,95.3
10,13,18,95.3
10,13,19,95.7
10,13,20,96.0
10,13,21,95.7
10,13,22,95.2
10,13,23,94.9
10,13,24,96.0
10,13,25,95.1
10,13,26,95.0
10,13,27,94.9
10,13,28,95.7
10,13,29,95.6
10,14,1,96.7
10,14,2,96.0
10,14,3,96.0
10,14,4,95.4
10,14,5,95.4
10,14,6,95.2
10,14,7,95.5
10,14,8,95.1
10,14,9,95.4
10,14,10,95.6
10,14,11,95.3
10,14,12,95.8
10,14,13,95.2
10,14,14,94.8
10,14,15,95.1
10,14,16,96.0
10,14,17,95.2
10,14,18,96.2
10,14,19,95.1
10,14,20,96.1
10,14,21,95.4
10,14,22,95.7
10,14,23,95.6
10,14,24,95.7
10,14,25,95.6
10,14,26,95.2
10,14,27,96.0
10,14,28,95.9
10,14,29,95.3
10,15,1,95.6
10,15,2,95.3
10,15,3,96.1
10,15,4,95.9
10,15,5,95.6
10,15,6,95.2
10,15,7,95.7
10,15,8,94.7
10,15,9,95.5
10,15,10,95.2
10,15,11,96.1
10,15,12,95.7
10,15,13,96.0
10,15,14,94.9
10,15,15,95.2
10,15,16,95.5
10,15,17,96.1
10,15,18,95.6
10,15,19,96.5
10,15,20,95.7
10,15,21,95.5
10,15,22,95.9
10,15,23,95.3
10,15,24,95.5
10,15,25,95.7
10,15,26,94.9
10,15,27,95.4
10,15,28,95.2
10,15,29,95.7
11,10,1,94.8
11,10,2,94.9
11,10,3,94.1
11,10,4,94.3
11,10,5,95.0
11,10,6,94.7
11,10,7,95.0
11,10,8,95.1
11,10,9,95.0
11,10,10,94.7
11,10,11,94.0
11,10,12,94.4
11,10,13,95.2
11,10,14,94.2
11,10,15,95.4
11,10,16,94.5
11,10,17,95.2
11,10,18,94.1
11,10,19,94.8
11,10,20,94.1
11,10,21,94.5
11,10,22,94.4
11,10,23,95.4
11,10,24,94.9
11,10,25,93.3
11,10,26,94.7
11,10,27,94.6
11,10,28,94.8
11,10,29,94.7
11,11,1,95.7
11,11,2,95.3
11,11,3,95.1
11,11,4,95.4
11,11,5,95.1
11,11,6,95.2
11,11,7,95.0
11,11,8,95.4
11,11,9,95.2
11,11,10,95.4
11,11,11,95.2
11,11,12,95.1
11,11,13,95.2
11,11,14,94.9
11,11,15,94.0
11,11,16,95.6
11,11,17,95.4
11,11,18,94.9
11,11,19,95.5
11,11,20,94.6
11,11,21,95.2
11,11,22,95.4
11,11,23,95.4
11,11,24,95.2
11,11,25,94.7
11,11,26,95.4
11,11,27,95.6
11,11,28,95.0
11,11,29,95.4
11,12,1,95.9
11,12,2,95.4
11,12,3,95.3
11,12,4,95.6
11,12,5,94.9
11,12,6,95.7
11,12,7,95.9
11,12,8,95.4
11,12,9,95.5
11,12,10,95.0
11,12,11,95.4
11,12,12,95.8
11,12,13,95.4
11,12,14,95.3
11,12,15,95.7
11,12,16,95.6
11,12,17,95.1
11,12,18,95.2
11,12,19,95.1
11,12,20,94.8
11,12,21,94.6
11,12,22,95.2
11,12,23,95.0
11,12,24,95.3
11,12,25,94.9
11,12,26,95.2
11,12,27,95.4
11,12,28,95.6
11,12,29,95.5
11,13,1,96.0
11,13,2,95.5
11,13,3,95.9
11,13,4,95.8
11,13,5,95.2
11,13,6,95.8
11,13,7,95.8
11,13,8,96.0
11,13,9,95.7
11,13,10,95.6
11,13,11,96.0
11,13,12,96.0
11,13,13,95.8
11,13,14,95.1
11,13,15,95.7
11,13,16,95.7
11,13,17,95.5
11,13,18,95.7
11,13,19,95.9
11,13,20,96.2
11,13,21,95.8
11,13,22,95.3
11,13,23,95.3
11,13,24,96.2
11,13,25,95.2
11,13,26,95.2
11,13,27,95.1
11,13,28,95.7
11,13,29,95.4
11,14,1,96.8
11,14,2,96.1
11,14,3,96.0
11,14,4,95.5
11,14,5,95.2
11,14,6,95.4
11,14,7,95.6
11,14,8,95.2
11,14,9,95.4
11,14,10,95.5
11,14,11,95.2
11,14,12,95.9
11,14,13,95.4
11,14,14,95.1
11,14,15,95.2
11,14,16,96.0
11,14,17,95.2
11,14,18,96.1
11,14,19,95.2
11,14,20,96.2
11,14,21,95.6
11,14,22,96.0
11,14,23,95.4
11,14,24,95.9
11,14,25,95.5
11,14,26,95.2
11,14,27,96.0
11,14,28,96.2
11,14,29,95.2
11,15,1,95.3
11,15,2,95.1
11,15,3,96.2
11,15,4,96.0
11,15,5,94.7
11,15,6,95.4
11,15,7,95.7
11,15,8,95.3
11,15,9,96.0
11,15,10,95.2
11,15,11,96.1
11,15,12,95.9
11,15,13,96.2
11,15,14,95.2
11,15,15,95.3
11,15,16,95.6
11,15,17,96.5
11,15,18,95.7
11,15,19,96.3
11,15,20,96.0
11,15,21,95.7
11,15,22,96.2
11,15,23,95.4
11,15,24,96.0
11,15,25,95.9
11,15,26,94.9
11,15,27,95.7
11,15,28,95.7
11,15,29,95.7
12,10,1,94.7
12,10,2,94.8
12,10,3,94.3
12,10,4,94.4
12,10,5,94.8
12,10,6,94.6
12,10,7,95.7
12,10,8,94.9
12,10,9,95.2
12,10,10,94.8
12,10,11,94.2
12,10,12,94.6
12,10,13,95.0
12,10,14,94.3
12,10,15,95.2
12,10,16,94.7
12,10,17,94.9
12,10,18,94.3
12,10,19,94.8
12,10,20,94.1
12,10,21,94.7
12,10,22,94.9
12,10,23,95.2
12,10,24,94.9
12,10,25,93.9
12,10,26,94.9
12,10,27,94.9
12,10,28,94.8
12,10,29,94.6
12,11,1,95.9
12,11,2,95.2
12,11,3,94.9
12,11,4,95.2
12,11,5,95.2
12,11,6,95.2
12,11,7,95.7
12,11,8,95.5
12,11,9,95.2
12,11,10,95.1
12,11,11,95.7
12,11,12,95.2
12,11,13,94.9
12,11,14,95.1
12,11,15,94.4
12,11,16,95.5
12,11,17,95.2
12,11,18,94.9
12,11,19,95.6
12,11,20,94.7
12,11,21,95.3
12,11,22,95.5
12,11,23,95.4
12,11,24,95.5
12,11,25,94.6
12,11,26,95.4
12,11,27,95.7
12,11,28,95.3
12,11,29,95.4
12,12,1,96.0
12,12,2,95.3
12,12,3,95.1
12,12,4,95.7
12,12,5,95.4
12,12,6,95.4
12,12,7,95.6
12,12,8,95.4
12,12,9,95.7
12,12,10,95.4
12,12,11,95.4
12,12,12,96.0
12,12,13,95.6
12,12,14,95.5
12,12,15,95.9
12,12,16,95.9
12,12,17,95.3
12,12,18,95.4
12,12,19,95.3
12,12,20,94.7
12,12,21,94.9
12,12,22,95.7
12,12,23,95.2
12,12,24,95.7
12,12,25,94.5
12,12,26,94.9
12,12,27,95.6
