n_estimators,max_depth,random_state,score
12,10,1,94.7
12,10,2,94.5
12,10,3,94.3
12,10,4,94.2
12,10,5,94.0
12,10,6,95.0
12,10,7,94.2
12,10,8,95.1
12,10,9,94.9
12,10,10,94.1
12,10,11,94.7
12,10,12,94.6
12,10,13,94.6
12,10,14,94.8
12,10,15,94.2
12,10,16,94.6
12,10,17,94.3
12,10,18,94.6
12,10,19,94.6
12,10,20,94.6
12,10,21,94.5
12,10,22,94.8
12,10,23,94.0
12,10,24,94.9
12,10,25,94.6
12,10,26,94.5
12,10,27,93.6
12,10,28,94.6
12,10,29,94.6
12,10,30,94.5
12,10,31,94.0
12,10,32,94.4
12,10,33,94.5
12,10,34,94.3
12,10,35,94.6
12,10,36,94.3
12,10,37,94.3
12,10,38,94.8
12,10,39,94.7
12,10,40,95.1
12,10,41,94.2
12,10,42,94.4
12,10,43,94.9
12,10,44,94.4
12,10,45,94.4
12,10,46,94.3
12,10,47,94.0
12,10,48,94.5
12,10,49,94.5
12,10,50,93.8
12,10,51,94.2
12,10,52,94.3
12,10,53,94.3
12,10,54,95.0
12,10,55,95.0
12,10,56,94.6
12,10,57,94.5
12,10,58,94.3
12,10,59,94.2
12,10,60,93.5
12,10,61,94.3
12,10,62,94.4
12,10,63,94.5
12,10,64,94.3
12,10,65,94.6
12,10,66,94.6
12,10,67,93.9
12,10,68,94.2
12,10,69,94.7
12,10,70,95.0
12,10,71,94.8
12,10,72,94.6
12,10,73,94.3
12,10,74,94.3
12,10,75,94.4
12,10,76,94.7
12,10,77,94.2
12,10,78,94.0
12,10,79,94.5
12,10,80,94.7
12,10,81,94.5
12,10,82,94.5
12,10,83,94.3
12,10,84,94.6
12,10,85,94.6
12,10,86,94.4
12,10,87,93.6
12,10,88,95.0
12,10,89,93.8
12,10,90,94.7
12,10,91,93.9
12,10,92,94.8
12,10,93,94.4
12,10,94,94.7
12,10,95,94.6
12,10,96,93.9
12,10,97,94.9
12,10,98,94.4
12,10,99,95.0
12,11,1,95.0
12,11,2,94.7
12,11,3,94.9
12,11,4,95.0
12,11,5,94.9
12,11,6,95.1
12,11,7,95.0
12,11,8,94.7
12,11,9,95.2
12,11,10,95.4
12,11,11,94.7
12,11,12,95.0
12,11,13,94.3
12,11,14,95.0
12,11,15,94.9
12,11,16,95.1
12,11,17,95.1
12,11,18,95.3
12,11,19,95.1
12,11,20,95.0
12,11,21,94.9
12,11,22,94.8
12,11,23,95.1
12,11,24,94.7
12,11,25,94.6
12,11,26,95.0
12,11,27,94.4
12,11,28,95.0
12,11,29,94.9
12,11,30,94.4
12,11,31,95.0
12,11,32,94.6
12,11,33,94.6
12,11,34,95.0
12,11,35,95.2
12,11,36,94.8
12,11,37,94.8
12,11,38,94.9
12,11,39,94.9
12,11,40,95.5
12,11,41,94.7
12,11,42,95.0
12,11,43,95.2
12,11,44,95.3
12,11,45,94.7
12,11,46,94.9
12,11,47,95.0
12,11,48,94.7
12,11,49,94.6
12,11,50,94.8
12,11,51,95.0
12,11,52,95.1
12,11,53,95.1
12,11,54,94.4
12,11,55,94.6
12,11,56,95.3
12,11,57,94.8
12,11,58,94.7
12,11,59,94.8
12,11,60,94.7
12,11,61,94.6
12,11,62,94.9
12,11,63,94.7
12,11,64,94.8
12,11,65,94.8
12,11,66,95.1
12,11,67,94.6
12,11,68,95.5
12,11,69,95.2
12,11,70,94.8
12,11,71,95.1
12,11,72,94.7
12,11,73,95.2
12,11,74,95.1
12,11,75,94.5
12,11,76,95.2
12,11,77,94.9
12,11,78,95.6
12,11,79,95.0
12,11,80,94.6
12,11,81,95.1
12,11,82,94.8
12,11,83,95.0
12,11,84,95.1
12,11,85,94.8
12,11,86,94.4
12,11,87,94.7
12,11,88,95.2
12,11,89,94.6
12,11,90,95.1
12,11,91,94.7
12,11,92,95.1
12,11,93,95.0
12,11,94,95.0
12,11,95,94.4
12,11,96,94.6
12,11,97,94.8
12,11,98,94.9
12,11,99,94.6
12,12,1,95.2
12,12,2,94.8
12,12,3,95.4
12,12,4,94.9
12,12,5,95.3
12,12,6,95.0
12,12,7,95.3
12,12,8,95.3
12,12,9,95.7
12,12,10,95.1
12,12,11,95.3
12,12,12,95.1
12,12,13,94.9
12,12,14,94.8
12,12,15,95.5
12,12,16,95.0
12,12,17,94.8
12,12,18,95.2
12,12,19,95.5
12,12,20,94.9
12,12,21,95.5
12,12,22,95.7
12,12,23,95.3
12,12,24,95.6
12,12,25,95.5
12,12,26,95.6
12,12,27,95.2
12,12,28,95.0
12,12,29,95.3
12,12,30,95.5
12,12,31,95.4
12,12,32,95.1
12,12,33,95.1
12,12,34,95.2
12,12,35,95.5
12,12,36,95.7
12,12,37,95.3
12,12,38,94.8
12,12,39,94.8
12,12,40,95.1
12,12,41,95.0
12,12,42,95.1
12,12,43,95.9
12,12,44,95.1
12,12,45,95.1
12,12,46,95.3
12,12,47,95.2
12,12,48,95.5
12,12,49,95.0
12,12,50,94.9
12,12,51,95.2
12,12,52,95.1
12,12,53,95.1
12,12,54,95.8
12,12,55,95.5
12,12,56,94.9
12,12,57,95.2
12,12,58,95.2
12,12,59,94.9
12,12,60,95.5
12,12,61,95.1
12,12,62,94.9
12,12,63,95.3
12,12,64,95.2
12,12,65,95.0
12,12,66,95.6
12,12,67,95.5
12,12,68,95.4
12,12,69,95.1
12,12,70,94.6
12,12,71,95.0
12,12,72,95.5
12,12,73,95.1
12,12,74,95.3
12,12,75,95.1
12,12,76,95.1
12,12,77,95.1
12,12,78,95.4
12,12,79,95.3
12,12,80,95.3
12,12,81,95.3
12,12,82,95.2
12,12,83,95.0
12,12,84,94.9
12,12,85,95.0
12,12,86,95.0
12,12,87,95.2
12,12,88,95.7
12,12,89,95.0
12,12,90,95.0
12,12,91,94.8
12,12,92,95.7
12,12,93,95.6
12,12,94,94.8
12,12,95,95.0
12,12,96,95.5
12,12,97,95.2
12,12,98,95.0
12,12,99,95.5
12,13,1,95.4
12,13,2,94.8
12,13,3,95.2
12,13,4,95.1
12,13,5,95.4
12,13,6,95.2
12,13,7,95.3
12,13,8,95.3
12,13,9,95.6
12,13,10,95.1
12,13,11,95.0
12,13,12,95.0
12,13,13,95.4
12,13,14,95.2
12,13,15,95.3
12,13,16,95.5
12,13,17,95.0
12,13,18,95.7
12,13,19,95.2
12,13,20,95.5
12,13,21,95.4
12,13,22,95.3
12,13,23,95.2
12,13,24,95.5
12,13,25,95.5
12,13,26,95.4
12,13,27,95.2
12,13,28,95.4
12,13,29,95.7
12,13,30,95.5
12,13,31,95.8
12,13,32,95.6
12,13,33,95.3
12,13,34,95.3
12,13,35,96.2
12,13,36,95.0
12,13,37,95.0
12,13,38,95.1
12,13,39,95.2
12,13,40,95.8
12,13,41,94.9
12,13,42,95.0
12,13,43,95.3
12,13,44,95.6
12,13,45,95.3
12,13,46,95.6
12,13,47,95.2
12,13,48,95.3
12,13,49,95.1
12,13,50,95.1
12,13,51,95.0
12,13,52,95.6
12,13,53,95.7
12,13,54,95.8
12,13,55,95.3
12,13,56,95.3
12,13,57,95.4
12,13,58,95.4
12,13,59,94.8
12,13,60,95.0
12,13,61,95.2
12,13,62,95.5
12,13,63,95.4
12,13,64,94.9
12,13,65,95.0
12,13,66,95.7
12,13,67,95.5
12,13,68,95.5
12,13,69,95.2
12,13,70,95.3
12,13,71,95.5
12,13,72,95.2
12,13,73,95.4
12,13,74,95.7
12,13,75,95.3
12,13,76,95.6
12,13,77,95.2
12,13,78,95.6
12,13,79,95.3
12,13,80,95.3
12,13,81,95.1
12,13,82,95.1
12,13,83,95.1
12,13,84,95.0
12,13,85,95.2
12,13,86,95.0
12,13,87,95.5
12,13,88,95.5
12,13,89,94.9
12,13,90,95.3
12,13,91,95.6
12,13,92,95.2
12,13,93,95.7
12,13,94,95.4
12,13,95,95.0
12,13,96,95.4
12,13,97,95.3
12,13,98,95.1
12,13,99,95.1
12,14,1,95.3
12,14,2,95.0
12,14,3,95.2
12,14,4,95.6
12,14,5,95.5
12,14,6,95.2
12,14,7,95.3
12,14,8,95.2
12,14,9,95.7
12,14,10,94.9
12,14,11,95.0
12,14,12,95.4
12,14,13,95.3
12,14,14,95.6
12,14,15,95.6
12,14,16,95.5
12,14,17,94.9
12,14,18,95.3
12,14,19,95.7
12,14,20,95.7
12,14,21,95.3
12,14,22,96.2
12,14,23,95.8
12,14,24,95.5
12,14,25,95.6
12,14,26,95.3
12,14,27,95.5
12,14,28,95.2
12,14,29,95.4
12,14,30,95.6
12,14,31,95.8
12,14,32,95.6
12,14,33,94.6
12,14,34,95.4
12,14,35,95.7
12,14,36,95.2
12,14,37,95.8
12,14,38,95.4
12,14,39,95.0
12,14,40,95.5
12,14,41,95.5
12,14,42,95.3
12,14,43,95.6
12,14,44,95.3
12,14,45,95.6
12,14,46,95.4
12,14,47,95.4
12,14,48,96.0
12,14,49,95.5
12,14,50,95.5
12,14,51,95.4
12,14,52,94.9
12,14,53,95.5
12,14,54,95.9
12,14,55,95.9
12,14,56,95.0
12,14,57,94.9
12,14,58,95.9
