n_estimators,max_depth,score,ModelSize
5,5,90.3,0.2
5,6,90.9,0.314
5,7,91.9,0.485
5,8,91.5,0.674
5,9,91.1,0.869
5,10,91.1,1.07
5,11,90.8,1.162
6,5,90.6,0.243
6,6,91.5,0.384
6,7,91.9,0.598
6,8,91.5,0.84
6,9,91.3,1.091
6,10,91.2,1.354
6,11,90.9,1.497
7,5,90.6,0.285
7,6,91.9,0.455
7,7,92.2,0.709
7,8,91.6,1.005
7,9,91.4,1.315
7,10,91.3,1.639
7,11,91.0,1.842
8,5,90.8,0.328
8,6,92.1,0.527
8,7,92.4,0.821
8,8,91.8,1.171
8,9,91.5,1.539
8,10,91.5,1.927
8,11,91.0,2.208
9,5,91.2,0.371
9,6,92.1,0.599
9,7,92.4,0.932
9,8,91.9,1.34
9,9,91.6,1.765
9,10,91.5,2.222
9,11,91.1,2.587
10,5,91.3,0.413
10,6,92.2,0.672
10,7,92.5,1.045
10,8,92.1,1.512
10,9,91.9,1.991
10,10,91.7,2.528
10,11,91.3,2.97
11,5,91.6,0.456
11,6,92.4,0.744
11,7,92.9,1.157
11,8,92.2,1.686
11,9,92.1,2.218
11,10,91.8,2.856
11,11,91.5,3.362
12,5,91.8,0.499
12,6,92.4,0.815
12,7,92.7,1.27
12,8,92.5,1.86
12,9,92.1,2.451
12,10,91.9,3.177
12,11,91.5,3.755
13,5,91.9,0.542
13,6,92.6,0.888
13,7,92.7,1.382
13,8,92.7,2.034
13,9,92.3,2.684
13,10,91.9,3.509
13,11,91.6,4.145
14,5,92.2,0.584
14,6,92.7,0.96
14,7,92.7,1.497
14,8,92.6,2.207
14,9,92.4,2.92
14,10,91.8,3.833
14,11,91.7,4.531
15,5,92.2,0.627
15,6,92.6,1.032
15,7,92.7,1.612
15,8,92.6,2.378
15,9,92.3,3.161
15,10,91.9,4.155
15,11,91.7,4.919
16,5,92.4,0.67
16,6,92.9,1.105
16,7,92.8,1.727
16,8,92.7,2.552
16,9,92.5,3.398
16,10,91.9,4.485
