n_estimators,max_depth,score,ModelSize
11,10,93.7,0.389
11,14,93.6,0.388
11,18,93.6,0.388
11,22,93.6,0.388
11,26,93.6,0.388
11,30,93.6,0.388
11,34,93.6,0.388
11,38,93.6,0.388
11,42,93.6,0.388
11,46,93.6,0.388
13,10,93.7,0.461
13,14,93.7,0.461
13,18,93.7,0.46
13,22,93.7,0.46
13,26,93.7,0.46
13,30,93.7,0.46
13,34,93.7,0.46
13,38,93.7,0.46
13,42,93.7,0.46
13,46,93.7,0.46
15,10,94.0,0.533
15,14,94.2,0.533
15,18,94.2,0.533
15,22,94.2,0.533
15,26,94.2,0.533
15,30,94.2,0.533
15,34,94.2,0.533
15,38,94.2,0.533
15,42,94.2,0.533
15,46,94.2,0.533
17,10,94.2,0.605
17,14,94.3,0.605
17,18,94.3,0.605
17,22,94.3,0.605
17,26,94.3,0.605
17,30,94.3,0.605
17,34,94.3,0.605
17,38,94.3,0.605
17,42,94.3,0.605
17,46,94.3,0.605
19,10,94.4,0.677
19,14,94.4,0.677
19,18,94.4,0.677
19,22,94.4,0.677
19,26,94.4,0.677
19,30,94.4,0.677
19,34,94.4,0.677
19,38,94.4,0.677
19,42,94.4,0.677
19,46,94.4,0.677
21,10,94.7,0.749
21,14,94.6,0.749
21,18,94.7,0.749
21,22,94.7,0.749
21,26,94.7,0.749
21,30,94.7,0.749
21,34,94.7,0.749
21,38,94.7,0.749
21,42,94.7,0.749
21,46,94.7,0.749
23,10,94.8,0.822
23,14,94.6,0.822
23,18,94.7,0.822
23,22,94.7,0.822
23,26,94.7,0.822
23,30,94.7,0.822
23,34,94.7,0.822
23,38,94.7,0.822
23,42,94.7,0.822
23,46,94.7,0.822
25,10,94.8,0.894
25,14,95.0,0.894
25,18,95.0,0.894
25,22,95.0,0.894
25,26,95.0,0.894
25,30,95.0,0.894
25,34,95.0,0.894
25,38,95.0,0.894
25,42,95.0,0.894
25,46,95.0,0.894
27,10,95.0,0.967
27,14,95.2,0.966
27,18,95.1,0.966
27,22,95.1,0.966
27,26,95.1,0.966
27,30,95.1,0.966
27,34,95.1,0.966
27,38,95.1,0.966
27,42,95.1,0.966
27,46,95.1,0.966
29,10,95.3,1.039
29,14,95.5,1.039
29,18,95.4,1.039
29,22,95.4,1.039
29,26,95.4,1.039
29,30,95.4,1.039
29,34,95.4,1.039
29,38,95.4,1.039
29,42,95.4,1.039
29,46,95.4,1.039
31,10,95.5,1.111
31,14,95.7,1.111
31,18,95.6,1.111
31,22,95.6,1.111
31,26,95.6,1.111
31,30,95.6,1.111
31,34,95.6,1.111
31,38,95.6,1.111
31,42,95.6,1.111
31,46,95.6,1.111
33,10,95.5,1.184
33,14,95.8,1.184
33,18,95.7,1.184
33,22,95.7,1.184
33,26,95.7,1.184
33,30,95.7,1.184
33,34,95.7,1.184
33,38,95.7,1.184
33,42,95.7,1.184
33,46,95.7,1.184
35,10,95.7,1.257
35,14,95.9,1.257
35,18,95.7,1.256
35,22,95.7,1.256
35,26,95.7,1.256
35,30,95.7,1.256
35,34,95.7,1.256
35,38,95.7,1.256
35,42,95.7,1.256
35,46,95.7,1.256
37,10,95.9,1.329
37,14,96.0,1.329
37,18,95.9,1.329
37,22,95.9,1.329
37,26,95.9,1.329
37,30,95.9,1.329
37,34,95.9,1.329
37,38,95.9,1.329
37,42,95.9,1.329
37,46,95.9,1.329
39,10,95.9,1.402
39,14,96.3,1.402
39,18,96.1,1.402
39,22,96.1,1.402
39,26,96.1,1.402
39,30,96.1,1.402
39,34,96.1,1.402
39,38,96.1,1.402
39,42,96.1,1.402
39,46,96.1,1.402
41,10,96.1,1.475
41,14,96.3,1.474
41,18,96.2,1.474
41,22,96.2,1.474
41,26,96.2,1.474
41,30,96.2,1.474
41,34,96.2,1.474
41,38,96.2,1.474
41,42,96.2,1.474
41,46,96.2,1.474
43,10,96.0,1.547
43,14,96.4,1.547
43,18,96.3,1.547
43,22,96.3,1.547
43,26,96.3,1.547
43,30,96.3,1.547
43,34,96.3,1.547
43,38,96.3,1.547
43,42,96.3,1.547
43,46,96.3,1.547
45,10,96.1,1.62
45,14,96.4,1.62
45,18,96.4,1.62
45,22,96.4,1.62
45,26,96.4,1.62
45,30,96.4,1.62
45,34,96.4,1.62
45,38,96.4,1.62
45,42,96.4,1.62
45,46,96.4,1.62
47,10,96.1,1.693
47,14,96.4,1.693
47,18,96.5,1.693
47,22,96.5,1.693
47,26,96.5,1.693
47,30,96.5,1.693
47,34,96.5,1.693
47,38,96.5,1.693
47,42,96.5,1.693
47,46,96.5,1.693
49,10,96.2,1.766
49,14,96.4,1.766
49,18,96.5,1.766
49,22,96.5,1.766
49,26,96.5,1.766
49,30,96.5,1.766
49,34,96.5,1.766
49,38,96.5,1.766
49,42,96.5,1.766
49,46,96.5,1.766
