n_estimators,max_depth,score,ModelSize
11,10,94.4,0.399
11,14,95.6,0.597
11,18,95.4,0.634
11,22,95.5,0.634
11,26,95.5,0.634
11,30,95.5,0.634
11,34,95.5,0.634
11,38,95.5,0.634
11,42,95.5,0.634
11,46,95.5,0.634
13,10,94.7,0.474
13,14,95.4,0.71
13,18,95.5,0.75
13,22,95.6,0.75
13,26,95.6,0.75
13,30,95.6,0.75
13,34,95.6,0.75
13,38,95.6,0.75
13,42,95.6,0.75
13,46,95.6,0.75
15,10,94.8,0.545
15,14,95.9,0.81
15,18,95.4,0.853
15,22,95.6,0.854
15,26,95.6,0.854
15,30,95.6,0.854
15,34,95.6,0.854
15,38,95.6,0.854
15,42,95.6,0.854
15,46,95.6,0.854
17,10,94.8,0.622
17,14,96.1,0.922
17,18,95.4,0.966
17,22,95.5,0.967
17,26,95.5,0.967
17,30,95.5,0.967
17,34,95.5,0.967
17,38,95.5,0.967
17,42,95.5,0.967
17,46,95.5,0.967
19,10,94.9,0.696
19,14,96.4,1.035
19,18,95.5,1.085
19,22,95.6,1.086
19,26,95.6,1.086
19,30,95.6,1.086
19,34,95.6,1.086
19,38,95.6,1.086
19,42,95.6,1.086
19,46,95.6,1.086
21,10,94.8,0.765
21,14,96.2,1.146
21,18,95.6,1.198
21,22,95.7,1.199
21,26,95.7,1.199
21,30,95.7,1.199
21,34,95.7,1.199
21,38,95.7,1.199
21,42,95.7,1.199
21,46,95.7,1.199
23,10,94.8,0.849
23,14,96.2,1.258
23,18,95.7,1.314
23,22,95.7,1.315
23,26,95.7,1.315
23,30,95.7,1.315
23,34,95.7,1.315
23,38,95.7,1.315
23,42,95.7,1.315
23,46,95.7,1.315
25,10,94.8,0.923
25,14,96.2,1.371
25,18,95.7,1.432
25,22,95.6,1.433
25,26,95.6,1.433
25,30,95.6,1.433
25,34,95.6,1.433
25,38,95.6,1.433
25,42,95.6,1.433
25,46,95.6,1.433
27,10,95.0,0.989
27,14,96.1,1.479
27,18,95.6,1.537
27,22,95.7,1.538
27,26,95.7,1.538
27,30,95.7,1.538
27,34,95.7,1.538
27,38,95.7,1.538
27,42,95.7,1.538
27,46,95.7,1.538
29,10,94.9,1.052
29,14,96.1,1.59
29,18,95.6,1.659
29,22,95.7,1.661
29,26,95.7,1.661
29,30,95.7,1.661
29,34,95.7,1.661
29,38,95.7,1.661
29,42,95.7,1.661
29,46,95.7,1.661
31,10,94.8,1.12
31,14,96.0,1.69
31,18,95.7,1.776
31,22,95.7,1.774
31,26,95.7,1.774
31,30,95.7,1.774
31,34,95.7,1.774
31,38,95.7,1.774
31,42,95.7,1.774
31,46,95.7,1.774
33,10,94.8,1.183
33,14,96.1,1.795
33,18,95.7,1.889
33,22,95.7,1.887
33,26,95.7,1.887
33,30,95.7,1.887
33,34,95.7,1.887
33,38,95.7,1.887
33,42,95.7,1.887
33,46,95.7,1.887
35,10,94.7,1.249
35,14,96.0,1.904
35,18,95.7,1.999
35,22,95.6,2.001
35,26,95.6,2.001
35,30,95.6,2.001
35,34,95.6,2.001
35,38,95.6,2.001
35,42,95.6,2.001
35,46,95.6,2.001
37,10,94.8,1.319
37,14,95.9,2.014
37,18,95.8,2.119
37,22,95.8,2.12
37,26,95.8,2.12
37,30,95.8,2.12
37,34,95.8,2.12
37,38,95.8,2.12
37,42,95.8,2.12
37,46,95.8,2.12
39,10,94.7,1.383
39,14,96.0,2.13
39,18,95.8,2.242
39,22,95.8,2.241
39,26,95.8,2.241
39,30,95.8,2.241
39,34,95.8,2.241
39,38,95.8,2.241
39,42,95.8,2.241
39,46,95.8,2.241
41,10,94.8,1.454
41,14,96.1,2.227
41,18,95.8,2.352
41,22,95.7,2.353
41,26,95.7,2.353
41,30,95.7,2.353
41,34,95.7,2.353
41,38,95.7,2.353
41,42,95.7,2.353
41,46,95.7,2.353
43,10,94.7,1.512
43,14,96.0,2.327
43,18,95.8,2.46
43,22,95.7,2.462
43,26,95.7,2.462
43,30,95.7,2.462
43,34,95.7,2.462
43,38,95.7,2.462
43,42,95.7,2.462
43,46,95.7,2.462
45,10,94.7,1.585
45,14,95.9,2.428
45,18,95.9,2.575
45,22,95.6,2.576
45,26,95.6,2.576
45,30,95.6,2.576
45,34,95.6,2.576
45,38,95.6,2.576
45,42,95.6,2.576
45,46,95.6,2.576
47,10,94.8,1.663
47,14,96.0,2.536
47,18,95.9,2.683
47,22,95.7,2.685
47,26,95.7,2.685
47,30,95.7,2.685
47,34,95.7,2.685
47,38,95.7,2.685
47,42,95.7,2.685
47,46,95.7,2.685
49,10,94.8,1.723
49,14,95.9,2.649
49,18,95.7,2.808
49,22,95.7,2.809
49,26,95.7,2.809
49,30,95.7,2.809
49,34,95.7,2.809
49,38,95.7,2.809
49,42,95.7,2.809
49,46,95.7,2.809
