n_estimators,max_depth,random_state,score
14,12,1,98.7
14,12,2,98.5
14,12,3,98.6
14,12,4,98.5
14,12,5,98.3
14,12,6,98.8
14,12,7,98.6
14,12,8,98.7
14,12,9,98.5
14,12,10,98.6
14,12,11,98.7
14,12,12,98.5
14,12,13,98.3
14,12,14,98.8
14,12,15,98.5
14,12,16,98.6
14,12,17,98.5
14,12,18,98.3
14,12,19,98.5
14,12,20,98.7
14,12,21,98.7
14,12,22,98.5
14,12,23,98.7
14,12,24,98.9
14,12,25,98.4
14,12,26,98.9
14,12,27,98.8
14,12,28,98.4
14,12,29,98.7
14,12,30,98.8
14,12,31,98.3
14,12,32,98.7
14,12,33,98.8
14,12,34,98.5
14,12,35,98.5
14,12,36,98.6
14,12,37,98.6
14,12,38,98.5
14,12,39,98.6
14,12,40,98.5
14,12,41,98.7
14,12,42,98.9
14,12,43,98.2
14,12,44,98.5
14,12,45,98.5
14,12,46,98.8
14,12,47,98.2
14,12,48,98.7
14,12,49,97.8
14,12,50,98.2
14,12,51,98.4
14,12,52,98.2
14,12,53,98.6
14,12,54,98.6
14,12,55,98.7
14,12,56,98.8
14,12,57,98.4
14,12,58,98.3
14,12,59,99.0
14,12,60,98.4
14,12,61,98.5
14,12,62,98.5
14,12,63,98.6
14,12,64,98.3
14,12,65,98.4
14,12,66,98.6
14,12,67,98.2
14,12,68,98.1
14,12,69,98.5
14,12,70,98.4
14,12,71,98.5
14,12,72,98.3
14,12,73,98.4
14,12,74,98.5
14,12,75,98.5
14,12,76,98.3
14,12,77,98.4
14,12,78,98.6
14,12,79,98.6
14,12,80,98.3
14,12,81,98.3
14,12,82,98.5
14,12,83,98.5
14,12,84,98.4
14,12,85,99.0
14,12,86,98.5
14,12,87,98.5
14,12,88,98.7
14,12,89,98.4
14,12,90,98.5
14,12,91,98.6
14,12,92,98.5
14,12,93,98.4
14,12,94,97.9
14,12,95,97.9
14,12,96,98.7
14,12,97,98.3
14,12,98,97.9
14,12,99,98.9
14,13,1,98.7
14,13,2,98.5
14,13,3,98.6
14,13,4,98.5
14,13,5,98.3
14,13,6,98.8
14,13,7,98.6
14,13,8,98.7
14,13,9,98.5
14,13,10,98.6
14,13,11,98.7
14,13,12,98.5
14,13,13,98.3
14,13,14,98.8
14,13,15,98.5
14,13,16,98.6
14,13,17,98.5
14,13,18,98.3
14,13,19,98.5
14,13,20,98.7
14,13,21,98.7
14,13,22,98.5
14,13,23,98.7
14,13,24,98.9
14,13,25,98.4
14,13,26,98.9
14,13,27,98.8
14,13,28,98.4
14,13,29,98.7
14,13,30,98.8
14,13,31,98.3
14,13,32,98.7
14,13,33,98.8
14,13,34,98.5
14,13,35,98.5
14,13,36,98.6
14,13,37,98.6
14,13,38,98.5
14,13,39,98.6
14,13,40,98.5
14,13,41,98.7
14,13,42,98.9
14,13,43,98.2
14,13,44,98.5
14,13,45,98.5
14,13,46,98.8
14,13,47,98.2
14,13,48,98.7
14,13,49,97.8
14,13,50,98.2
14,13,51,98.4
14,13,52,98.2
14,13,53,98.6
14,13,54,98.6
14,13,55,98.7
14,13,56,98.8
14,13,57,98.4
14,13,58,98.3
14,13,59,99.0
14,13,60,98.4
14,13,61,98.5
14,13,62,98.5
14,13,63,98.6
14,13,64,98.3
14,13,65,98.4
14,13,66,98.6
14,13,67,98.2
14,13,68,98.1
14,13,69,98.5
14,13,70,98.4
14,13,71,98.5
14,13,72,98.3
14,13,73,98.4
14,13,74,98.5
14,13,75,98.5
14,13,76,98.3
14,13,77,98.4
14,13,78,98.6
14,13,79,98.6
14,13,80,98.3
14,13,81,98.3
14,13,82,98.5
14,13,83,98.5
14,13,84,98.4
14,13,85,99.0
14,13,86,98.5
14,13,87,98.5
14,13,88,98.7
14,13,89,98.4
14,13,90,98.5
14,13,91,98.6
14,13,92,98.5
14,13,93,98.4
14,13,94,97.9
14,13,95,97.9
14,13,96,98.7
14,13,97,98.3
14,13,98,97.9
14,13,99,98.9
14,14,1,98.7
14,14,2,98.5
14,14,3,98.6
14,14,4,98.5
14,14,5,98.3
14,14,6,98.8
14,14,7,98.6
14,14,8,98.7
14,14,9,98.5
14,14,10,98.6
14,14,11,98.7
14,14,12,98.5
14,14,13,98.3
14,14,14,98.8
14,14,15,98.5
14,14,16,98.6
14,14,17,98.5
14,14,18,98.3
14,14,19,98.5
14,14,20,98.7
14,14,21,98.7
14,14,22,98.5
14,14,23,98.7
14,14,24,98.9
14,14,25,98.4
14,14,26,98.9
14,14,27,98.8
14,14,28,98.4
14,14,29,98.7
14,14,30,98.8
14,14,31,98.3
14,14,32,98.7
14,14,33,98.8
14,14,34,98.5
14,14,35,98.5
14,14,36,98.6
14,14,37,98.6
14,14,38,98.5
14,14,39,98.6
14,14,40,98.5
14,14,41,98.7
14,14,42,98.9
14,14,43,98.2
14,14,44,98.5
14,14,45,98.5
14,14,46,98.8
14,14,47,98.2
14,14,48,98.7
14,14,49,97.8
14,14,50,98.2
14,14,51,98.4
14,14,52,98.2
14,14,53,98.6
14,14,54,98.6
14,14,55,98.7
14,14,56,98.8
14,14,57,98.4
14,14,58,98.3
14,14,59,99.0
14,14,60,98.4
14,14,61,98.5
14,14,62,98.5
14,14,63,98.6
14,14,64,98.3
14,14,65,98.4
14,14,66,98.6
14,14,67,98.2
14,14,68,98.1
14,14,69,98.5
14,14,70,98.4
14,14,71,98.5
14,14,72,98.3
14,14,73,98.4
14,14,74,98.5
14,14,75,98.5
14,14,76,98.3
14,14,77,98.4
14,14,78,98.6
14,14,79,98.6
14,14,80,98.3
14,14,81,98.3
14,14,82,98.5
14,14,83,98.5
14,14,84,98.4
14,14,85,99.0
14,14,86,98.5
14,14,87,98.5
14,14,88,98.7
14,14,89,98.4
14,14,90,98.5
14,14,91,98.6
14,14,92,98.5
14,14,93,98.4
14,14,94,97.9
14,14,95,97.9
14,14,96,98.7
14,14,97,98.3
14,14,98,97.9
14,14,99,98.9
14,15,1,98.7
14,15,2,98.5
14,15,3,98.6
14,15,4,98.5
14,15,5,98.3
14,15,6,98.8
14,15,7,98.6
14,15,8,98.7
14,15,9,98.5
14,15,10,98.6
14,15,11,98.7
14,15,12,98.5
14,15,13,98.3
14,15,14,98.8
14,15,15,98.5
14,15,16,98.6
14,15,17,98.5
14,15,18,98.3
14,15,19,98.5
14,15,20,98.7
14,15,21,98.7
14,15,22,98.5
14,15,23,98.7
14,15,24,98.9
14,15,25,98.4
14,15,26,98.9
14,15,27,98.8
14,15,28,98.4
14,15,29,98.7
14,15,30,98.8
14,15,31,98.3
14,15,32,98.7
14,15,33,98.8
14,15,34,98.5
14,15,35,98.5
14,15,36,98.6
14,15,37,98.6
14,15,38,98.5
14,15,39,98.6
14,15,40,98.5
14,15,41,98.7
14,15,42,98.9
14,15,43,98.2
14,15,44,98.5
14,15,45,98.5
14,15,46,98.8
14,15,47,98.2
14,15,48,98.7
14,15,49,97.8
14,15,50,98.2
14,15,51,98.4
14,15,52,98.2
14,15,53,98.6
14,15,54,98.6
14,15,55,98.7
14,15,56,98.8
14,15,57,98.4
14,15,58,98.3
14,15,59,99.0
14,15,60,98.4
14,15,61,98.5
14,15,62,98.5
14,15,63,98.6
14,15,64,98.3
14,15,65,98.4
14,15,66,98.6
14,15,67,98.2
14,15,68,98.1
14,15,69,98.5
14,15,70,98.4
14,15,71,98.5
14,15,72,98.3
14,15,73,98.4
14,15,74,98.5
14,15,75,98.5
14,15,76,98.3
14,15,77,98.4
14,15,78,98.6
14,15,79,98.6
14,15,80,98.3
14,15,81,98.3
14,15,82,98.5
14,15,83,98.5
14,15,84,98.4
14,15,85,99.0
14,15,86,98.5
14,15,87,98.5
14,15,88,98.7
14,15,89,98.4
14,15,90,98.5
14,15,91,98.6
14,15,92,98.5
14,15,93,98.4
14,15,94,97.9
14,15,95,97.9
14,15,96,98.7
14,15,97,98.3
14,15,98,97.9
14,15,99,98.9
14,16,1,98.7
14,16,2,98.5
14,16,3,98.6
14,16,4,98.5
14,16,5,98.3
14,16,6,98.8
14,16,7,98.6
14,16,8,98.7
14,16,9,98.5
14,16,10,98.6
14,16,11,98.7
14,16,12,98.5
14,16,13,98.3
14,16,14,98.8
