C_,score,ModelSize
1,92.1,0.304
2,92.5,0.294
3,92.9,0.286
4,93.1,0.279
5,93.2,0.274
6,93.2,0.271
7,93.2,0.269
8,93.3,0.268
9,93.3,0.266
10,93.4,0.263
11,93.4,0.261
12,93.3,0.26
13,93.4,0.258
14,93.4,0.256
15,93.4,0.257
16,93.3,0.256
17,93.4,0.257
18,93.4,0.255
19,93.5,0.252
20,93.4,0.252
21,93.4,0.252
22,93.4,0.249
23,93.2,0.249
24,93.4,0.248
25,93.5,0.248
26,93.6,0.247
27,93.5,0.247
28,93.6,0.248
29,93.7,0.248
30,93.7,0.247
31,93.6,0.245
32,93.6,0.245
33,93.6,0.247
34,93.5,0.246
35,93.4,0.246
36,93.6,0.244
37,93.4,0.243
38,93.5,0.242
39,93.3,0.242
40,93.4,0.243
41,93.4,0.239
42,93.5,0.24
43,93.4,0.237
44,93.3,0.239
45,93.4,0.238
46,93.4,0.236
47,93.4,0.235
48,93.3,0.236
49,93.6,0.235
50,93.5,0.234
51,93.4,0.234
52,93.4,0.235
53,93.5,0.234
54,93.5,0.234
55,93.4,0.235
56,93.4,0.232
57,93.4,0.233
58,93.5,0.234
59,93.6,0.232
60,93.5,0.233
61,93.5,0.23
62,93.5,0.232
63,93.5,0.23
64,93.4,0.23
65,93.4,0.228
66,93.4,0.229
67,93.4,0.228
68,93.3,0.23
69,93.3,0.227
70,93.3,0.229
71,93.4,0.23
72,93.3,0.227
73,93.4,0.228
74,93.5,0.228
75,93.4,0.227
76,93.6,0.227
77,93.4,0.229
78,93.4,0.228
79,93.4,0.227
80,93.4,0.226
81,93.3,0.227
82,93.3,0.227
83,93.4,0.225
84,93.0,0.223
85,93.1,0.226
86,93.3,0.225
87,92.9,0.224
88,93.1,0.225
89,93.0,0.224
90,93.2,0.224
91,93.0,0.223
92,93.2,0.225
93,93.1,0.223
94,93.4,0.224
95,92.9,0.222
96,93.0,0.223
97,93.2,0.221
98,93.0,0.221
99,93.0,0.222
