n_estimators,max_depth,random_state,score
10,10,1,94.8
10,10,2,94.4
10,10,3,94.9
10,10,4,94.9
10,10,5,94.4
10,10,6,94.3
10,10,7,94.5
10,10,8,94.4
10,10,9,95.2
10,10,10,94.6
10,10,11,94.7
10,10,12,95.9
10,10,13,94.4
10,10,14,95.1
10,10,15,94.9
10,10,16,94.2
10,10,17,95.4
10,10,18,95.0
10,10,19,94.7
10,10,20,95.2
10,10,21,94.4
10,10,22,94.7
10,10,23,94.7
10,10,24,94.7
10,10,25,94.4
10,10,26,94.3
10,10,27,94.4
10,10,28,94.9
10,10,29,95.1
10,10,30,95.4
10,10,31,94.4
10,10,32,94.6
10,10,33,94.7
10,10,34,94.7
10,10,35,94.9
10,10,36,94.8
10,10,37,94.7
10,10,38,94.9
10,10,39,94.4
10,10,40,94.9
10,10,41,94.9
10,10,42,94.9
10,10,43,95.2
10,10,44,94.8
10,10,45,95.0
10,10,46,95.2
10,10,47,94.6
10,10,48,94.6
10,10,49,95.2
10,10,50,95.1
10,10,51,94.6
10,10,52,94.7
10,10,53,94.8
10,10,54,93.7
10,10,55,95.0
10,10,56,94.7
10,10,57,93.7
10,10,58,94.7
10,10,59,94.4
10,10,60,94.7
10,10,61,95.3
10,10,62,94.9
10,10,63,95.2
10,10,64,94.4
10,10,65,94.6
10,10,66,94.9
10,10,67,94.1
10,10,68,95.2
10,10,69,94.9
10,10,70,94.2
10,10,71,95.4
10,10,72,95.4
10,10,73,95.1
10,10,74,95.3
10,10,75,94.7
10,10,76,95.4
10,10,77,94.9
10,10,78,95.1
10,10,79,95.5
10,10,80,95.2
10,10,81,94.9
10,10,82,94.9
10,10,83,94.7
10,10,84,94.5
10,10,85,95.7
10,10,86,94.6
10,10,87,95.2
10,10,88,94.6
10,10,89,94.9
10,10,90,94.9
10,10,91,94.4
10,10,92,96.0
10,10,93,95.0
10,10,94,95.0
10,10,95,94.4
10,10,96,94.8
10,10,97,95.4
10,10,98,94.1
10,10,99,94.4
10,11,1,94.9
10,11,2,95.4
10,11,3,96.0
10,11,4,95.3
10,11,5,95.1
10,11,6,94.8
10,11,7,95.4
10,11,8,95.1
10,11,9,95.5
10,11,10,95.8
10,11,11,94.9
10,11,12,95.6
10,11,13,95.2
10,11,14,95.8
10,11,15,95.7
10,11,16,94.4
10,11,17,95.4
10,11,18,95.4
10,11,19,94.9
10,11,20,95.8
10,11,21,96.2
10,11,22,95.4
