n_estimators,max_depth,random_state,score
16,14,1,79.8
16,14,2,80.0
16,14,3,80.0
16,14,4,80.5
16,14,5,79.4
16,14,6,79.4
16,14,7,80.4
16,14,8,79.8
16,14,9,80.0
16,14,10,78.6
16,14,11,79.5
16,14,12,79.1
16,14,13,79.7
16,14,14,80.6
16,14,15,79.8
16,14,16,79.7
16,14,17,79.8
16,14,18,78.9
16,14,19,79.8
16,14,20,79.1
16,14,21,81.1
16,14,22,80.0
16,14,23,79.0
16,14,24,80.1
16,14,25,78.9
16,14,26,79.1
16,14,27,78.9
16,14,28,80.4
16,14,29,80.0
16,14,30,79.9
16,14,31,79.3
16,14,32,80.8
16,14,33,79.2
16,14,34,78.7
16,14,35,80.0
16,14,36,79.1
16,14,37,78.8
16,14,38,78.8
16,14,39,79.0
16,14,40,79.7
16,14,41,79.1
16,14,42,78.8
16,14,43,80.3
16,14,44,80.5
16,14,45,79.4
16,14,46,79.7
16,14,47,79.2
16,14,48,80.3
16,14,49,79.7
16,14,50,80.2
16,14,51,79.2
16,14,52,80.0
16,14,53,80.4
16,14,54,79.5
16,14,55,79.9
16,14,56,79.6
16,14,57,80.3
16,14,58,79.4
16,14,59,80.1
16,14,60,79.9
16,14,61,79.2
16,14,62,80.0
16,14,63,79.7
16,14,64,79.3
16,14,65,80.2
16,14,66,79.2
16,14,67,79.4
16,14,68,80.0
16,14,69,79.1
16,14,70,78.7
16,14,71,79.2
16,14,72,80.1
16,14,73,79.5
16,14,74,78.0
16,14,75,79.0
16,14,76,79.1
16,14,77,79.2
16,14,78,80.5
16,14,79,79.5
16,14,80,78.1
16,14,81,78.9
16,14,82,80.0
16,14,83,78.0
16,14,84,80.3
16,14,85,80.1
16,14,86,80.4
16,14,87,79.2
16,14,88,79.5
16,14,89,79.2
16,14,90,80.1
16,14,91,78.5
16,14,92,79.4
16,14,93,79.8
16,14,94,79.0
16,14,95,78.9
16,14,96,80.6
16,14,97,79.3
16,14,98,79.2
16,14,99,80.0
16,15,1,80.2
16,15,2,79.4
16,15,3,79.0
16,15,4,80.1
16,15,5,79.8
16,15,6,80.0
16,15,7,80.5
16,15,8,79.3
16,15,9,79.6
16,15,10,79.2
16,15,11,79.7
16,15,12,79.6
16,15,13,79.7
16,15,14,80.2
16,15,15,79.4
16,15,16,79.7
16,15,17,78.9
16,15,18,79.1
16,15,19,78.6
16,15,20,78.7
16,15,21,79.4
16,15,22,79.6
16,15,23,79.8
16,15,24,79.0
16,15,25,80.0
16,15,26,79.2
16,15,27,79.6
16,15,28,79.3
16,15,29,80.0
16,15,30,80.3
16,15,31,78.9
16,15,32,80.5
16,15,33,80.0
16,15,34,78.8
16,15,35,80.0
16,15,36,80.2
16,15,37,79.6
16,15,38,78.4
16,15,39,79.3
16,15,40,80.1
16,15,41,79.7
16,15,42,79.4
16,15,43,79.1
16,15,44,79.6
16,15,45,79.7
16,15,46,79.0
16,15,47,79.5
16,15,48,80.5
16,15,49,80.0
16,15,50,78.7
16,15,51,79.5
16,15,52,79.1
16,15,53,81.1
16,15,54,78.3
16,15,55,79.4
16,15,56,79.4
16,15,57,80.6
16,15,58,79.6
16,15,59,80.0
16,15,60,81.2
16,15,61,79.2
16,15,62,79.3
16,15,63,80.0
16,15,64,80.3
16,15,65,80.4
16,15,66,79.7
16,15,67,79.1
16,15,68,78.5
16,15,69,79.2
16,15,70,78.8
16,15,71,79.7
16,15,72,79.4
16,15,73,79.7
16,15,74,79.9
16,15,75,79.7
16,15,76,78.7
16,15,77,79.8
16,15,78,79.7
16,15,79,80.3
16,15,80,80.6
16,15,81,79.8
16,15,82,79.2
16,15,83,78.5
16,15,84,79.9
16,15,85,80.2
16,15,86,80.0
16,15,87,78.7
16,15,88,80.9
16,15,89,78.9
16,15,90,79.5
16,15,91,78.0
16,15,92,79.9
16,15,93,79.0
16,15,94,79.8
16,15,95,79.4
16,15,96,79.3
16,15,97,80.2
16,15,98,79.4
16,15,99,80.0
16,16,1,80.6
16,16,2,79.4
16,16,3,79.5
16,16,4,79.7
16,16,5,79.1
16,16,6,80.1
16,16,7,79.8
16,16,8,78.8
16,16,9,79.4
16,16,10,78.5
16,16,11,79.9
16,16,12,80.0
16,16,13,79.4
16,16,14,79.3
16,16,15,80.3
16,16,16,79.8
16,16,17,78.7
16,16,18,79.5
16,16,19,79.1
16,16,20,78.9
16,16,21,80.7
16,16,22,80.6
16,16,23,79.2
16,16,24,80.1
16,16,25,80.1
16,16,26,78.4
16,16,27,79.9
16,16,28,78.7
16,16,29,80.1
16,16,30,79.5
16,16,31,79.6
16,16,32,79.3
16,16,33,80.7
16,16,34,78.6
16,16,35,79.7
16,16,36,80.1
16,16,37,79.8
16,16,38,79.1
16,16,39,78.9
16,16,40,78.9
16,16,41,78.9
16,16,42,79.8
16,16,43,79.5
16,16,44,79.0
16,16,45,79.8
16,16,46,78.5
16,16,47,79.9
16,16,48,80.4
16,16,49,80.2
16,16,50,80.0
16,16,51,79.3
16,16,52,79.7
16,16,53,81.5
16,16,54,79.5
16,16,55,79.1
16,16,56,78.6
16,16,57,80.6
16,16,58,79.4
