n_estimators,max_depth,score,ModelSize
11,10,94.0,0.27
11,14,94.0,0.275
11,18,94.0,0.275
11,22,94.0,0.276
11,26,94.0,0.276
11,30,94.0,0.276
11,34,94.0,0.276
11,38,94.0,0.276
11,42,94.0,0.276
11,46,94.0,0.276
13,10,94.2,0.319
13,14,94.2,0.327
13,18,94.2,0.327
13,22,94.2,0.327
13,26,94.2,0.327
13,30,94.2,0.327
13,34,94.2,0.327
13,38,94.2,0.327
13,42,94.2,0.327
13,46,94.2,0.327
15,10,94.3,0.368
15,14,94.3,0.378
15,18,94.3,0.378
15,22,94.3,0.379
15,26,94.3,0.379
15,30,94.3,0.379
15,34,94.3,0.379
15,38,94.3,0.379
15,42,94.3,0.379
15,46,94.3,0.379
17,10,94.5,0.417
17,14,94.4,0.43
17,18,94.4,0.431
17,22,94.4,0.431
17,26,94.4,0.431
17,30,94.4,0.431
17,34,94.4,0.431
17,38,94.4,0.431
17,42,94.4,0.431
17,46,94.4,0.431
19,10,94.7,0.467
19,14,94.6,0.481
19,18,94.6,0.483
19,22,94.6,0.483
19,26,94.6,0.483
19,30,94.6,0.483
19,34,94.6,0.483
19,38,94.6,0.483
19,42,94.6,0.483
19,46,94.6,0.483
21,10,94.8,0.515
21,14,94.8,0.534
21,18,94.7,0.535
21,22,94.7,0.535
21,26,94.7,0.535
21,30,94.7,0.535
21,34,94.7,0.535
21,38,94.7,0.535
21,42,94.7,0.535
21,46,94.7,0.535
23,10,94.7,0.563
23,14,95.0,0.586
23,18,94.7,0.588
23,22,94.7,0.589
23,26,94.7,0.589
23,30,94.7,0.589
23,34,94.7,0.589
23,38,94.7,0.589
23,42,94.7,0.589
23,46,94.7,0.589
25,10,95.0,0.611
25,14,95.2,0.637
25,18,95.0,0.639
25,22,95.1,0.64
25,26,95.1,0.64
25,30,95.1,0.64
25,34,95.1,0.64
25,38,95.1,0.64
25,42,95.1,0.64
25,46,95.1,0.64
27,10,95.0,0.659
27,14,95.1,0.689
27,18,95.1,0.692
27,22,95.1,0.693
27,26,95.1,0.693
27,30,95.1,0.693
27,34,95.1,0.693
27,38,95.1,0.693
27,42,95.1,0.693
27,46,95.1,0.693
29,10,95.0,0.705
29,14,95.2,0.742
29,18,95.1,0.745
29,22,95.1,0.746
29,26,95.1,0.746
29,30,95.1,0.746
29,34,95.1,0.746
29,38,95.1,0.746
29,42,95.1,0.746
29,46,95.1,0.746
31,10,95.1,0.751
31,14,95.3,0.792
31,18,95.1,0.795
31,22,95.1,0.796
31,26,95.1,0.796
31,30,95.1,0.796
31,34,95.1,0.796
31,38,95.1,0.796
31,42,95.1,0.796
31,46,95.1,0.796
33,10,95.2,0.796
33,14,95.3,0.841
33,18,95.1,0.846
33,22,95.1,0.846
33,26,95.1,0.846
33,30,95.1,0.846
33,34,95.1,0.846
33,38,95.1,0.846
33,42,95.1,0.846
33,46,95.1,0.846
35,10,95.2,0.841
35,14,95.4,0.89
35,18,95.2,0.895
35,22,95.2,0.896
35,26,95.2,0.896
35,30,95.2,0.896
35,34,95.2,0.896
35,38,95.2,0.896
35,42,95.2,0.896
35,46,95.2,0.896
37,10,95.2,0.888
37,14,95.5,0.94
37,18,95.2,0.945
37,22,95.2,0.946
37,26,95.2,0.946
37,30,95.2,0.946
37,34,95.2,0.946
37,38,95.2,0.946
37,42,95.2,0.946
37,46,95.2,0.946
39,10,95.4,0.934
39,14,95.5,0.989
39,18,95.3,0.995
39,22,95.3,0.996
39,26,95.3,0.996
39,30,95.3,0.996
39,34,95.3,0.996
39,38,95.3,0.996
39,42,95.3,0.996
39,46,95.3,0.996
41,10,95.4,0.979
41,14,95.5,1.038
41,18,95.4,1.044
41,22,95.4,1.046
41,26,95.4,1.046
41,30,95.4,1.046
41,34,95.4,1.046
41,38,95.4,1.046
41,42,95.4,1.046
41,46,95.4,1.046
43,10,95.6,1.024
43,14,95.7,1.087
43,18,95.6,1.093
43,22,95.6,1.094
43,26,95.6,1.094
43,30,95.6,1.094
43,34,95.6,1.094
43,38,95.6,1.094
43,42,95.6,1.094
43,46,95.6,1.094
45,10,95.6,1.068
45,14,95.7,1.135
45,18,95.6,1.142
45,22,95.7,1.143
45,26,95.7,1.143
45,30,95.7,1.143
45,34,95.7,1.143
45,38,95.7,1.143
45,42,95.7,1.143
45,46,95.7,1.143
47,10,95.6,1.113
47,14,95.7,1.182
47,18,95.7,1.19
47,22,95.7,1.191
47,26,95.7,1.191
47,30,95.7,1.191
47,34,95.7,1.191
47,38,95.7,1.191
47,42,95.7,1.191
47,46,95.7,1.191
49,10,95.7,1.157
49,14,95.7,1.229
49,18,95.7,1.236
49,22,95.7,1.237
49,26,95.7,1.237
49,30,95.7,1.237
49,34,95.7,1.237
49,38,95.7,1.237
49,42,95.7,1.237
49,46,95.7,1.237
